kode_prov;kode_kab;tahun;q;adhb_or_adhk;status_data;c_pdrb;c_1;c_1a;c_1b;c_1c;c_1d;c_1e;c_1f;c_1g;c_1h;c_1i;c_1j;c_1k;c_1l;c_2;c_3;c_4;c_4a;c_4b;c_5;c_6;c_7
16;00;2010;1;1;3;44434521.42826460;29312714.74185140;13477962.26084010;2532625.04356170;1274278.69402310;2090170.73934330;1079372.92404374;1066132.28566466;2410061.82387192;1095331.21000699;626931.99871017;1023516.67534346;1518687.82393692;1117643.26250533;603653.77967918;3185745.97670899;17873004.36461890;11761957.05463980;6111047.30997911;-769876.78594487;11982473.01615000;17753193.66479900
16;00;2010;2;1;3;49415499.74362400;30422001.61129010;14231025.77785730;2545324.81773423;1343307.72742199;2115093.79518895;1119303.31977827;1097305.24657933;2435622.51083080;1085641.44301124;636063.62004518;1049603.86042868;1551595.54366511;1212113.94874894;640896.58188730;3687162.18438918;18805523.64419010;14925948.63427480;3879575.00991528;88829.14872678;14895691.03178140;19124604.45864080
16;00;2010;3;1;3;51045307.01977020;32405920.19898820;15616834.46759460;2574889.25307397;1366744.95599460;2156639.10899658;1121170.06686489;1111223.32204837;2495717.37041509;1448109.96032750;639657.89122679;1087840.71305118;1602186.13090975;1184906.95848487;695664.20935009;4062372.93610808;19664954.01686180;14652405.87683220;5012548.14002967;1736398.82054651;14862545.57549350;22382548.73757800
16;00;2010;4;1;3;49117645.52860380;32755181.39902650;16217254.26208110;2553558.31875245;1412359.64953344;2100089.93121806;1084417.51800310;1089277.04980345;2368654.49588914;1378741.14713665;624999.52141570;1051718.57500665;1568399.42547783;1305711.50470888;698985.18287436;4834387.77270627;20021156.77552210;16205588.54443780;3815568.23108424;-3137399.94716415;15162116.88767430;21216782.54203550
16;00;2010;1;2;3;46098912.24801850;30335762.74198230;14302197.06390970;2537002.88864088;1317407.54163056;2093510.95790625;1078960.65668204;1077494.05456742;2395572.69166587;1180512.69394922;621807.96458256;1024315.25055214;1535821.28594982;1171159.69194586;615015.71401300;3318225.63612540;17550679.29309040;13159053.43817940;4391625.85491097;-316845.67366046;12068407.97597310;17472333.43950530
16;00;2010;2;2;3;48525332.21766980;30859432.60550850;14614563.29636540;2552233.95355149;1338314.11569546;2107760.05944832;1105733.13309009;1088070.38178410;2430743.62969116;1174455.32783210;633229.72044037;1047516.78375912;1555571.02373332;1211241.18011753;654235.47780367;3688061.64774386;18593609.12303680;13974979.46443500;4618629.65860174;88413.30230584;14692536.52399240;20050956.46272120
16;00;2010;3;2;3;50854218.48847380;31717418.61278280;15180600.72443180;2561686.30209043;1361917.75662658;2136145.61509979;1114222.38037345;1100893.90957375;2458040.83447632;1341099.47705605;635402.45627925;1069403.77212968;1579528.74687797;1178476.63776763;687511.98732888;4014748.79064436;19665592.48370940;14810220.82205900;4855371.66165045;1182388.04388305;14844932.70853310;21258374.13840770
16;00;2010;4;2;3;48534510.76610040;31983203.99088260;15445715.68366620;2555474.28883954;1379051.61302054;2124576.94229254;1105347.65854442;1097479.55817054;2425699.04517360;1311756.26164502;637212.89009566;1071444.01738903;1569947.86742850;1259498.16461698;682436.57464539;4748632.79539890;20554757.90134220;15601646.38553200;4953111.51581018;-3036004.43636416;15296949.30259670;21695465.36240120
16;00;2011;1;1;3;51753414.63905360;32881238.58070770;15157003.75554400;2532209.85909093;1557784.86798551;2322051.94182522;1202341.80208758;1240329.29351121;2529488.83655302;1369095.10962968;660783.33912702;1177554.57715745;1715924.54663056;1416670.65156553;684296.78411597;3791718.45985189;20683981.22602910;15967744.99456530;4716236.23146384;-620656.37941282;17442974.51925070;23110138.55148900
16;00;2011;2;1;3;55208415.32948170;35085747.51555870;16488151.30112650;2724086.05579904;1605938.80963438;2447722.13525598;1246298.02978446;1315528.58037638;2612134.97898392;1381730.01279401;723854.95508366;1240884.21866306;1843411.50160745;1456006.93644987;714134.30909847;4384651.95954812;22174866.83405390;17382450.54616040;4792416.28789352;-589057.68016534;18267543.49748530;24829471.10609750
